Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Label
172.16.0.1,36329,192.168.10.50,80,6,07/07/2017 04:11,1706009,5,0,30,0,17.58490137,2.930816895,0,0,0,0,100,0,2.930816895,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
192.168.10.50,80,172.16.0.1,54200,6,07/07/2017 03:59,5838518,1,6,6,36,7.193606323,1.198934387,0,0,0,0,20,120,0.171276341,1.027658046,6,6,0,0,0,0,1,1,0,0,BENIGN
192.168.10.15,52336,192.168.10.3,53,17,07/07/2017 04:53,259548,4,2,196,530,2797.170466,23.11711129,0,0,0,0,80,40,15.41140752,7.705703762,49,265,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1,64389,192.168.10.50,80,6,07/07/2017 04:05,10457404,8,4,56,11601,1114.7126,1.147512327,0,0,0,0,172,92,0.765008218,0.382504109,0,8760,0,0,0,0,1,0,0,0,DDoS
192.168.10.50,80,172.16.0.1,54902,6,07/07/2017 03:58,73465579,5,9,11613,62,158.9179608,0.190565435,0,0,0,0,112,192,0.068059084,0.122506351,0,11595,0,0,0,0,1,1,0,0,BENIGN
192.168.10.9,50562,192.168.10.3,53,17,07/07/2017 04:31,174,2,2,88,144,1333333.333,22988.50575,0,0,0,0,40,40,11494.25287,11494.25287,44,72,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1,41859,192.168.10.50,80,6,07/07/2017 04:15,1053523,3,5,26,11607,11041.99908,7.593569386,0,0,0,0,72,112,2.84758852,4.745980866,0,7215,0,0,0,1,0,0,0,0,DDoS
172.16.0.1,32282,192.168.10.50,80,6,07/07/2017 04:09,842897,3,6,26,11607,13801.21177,10.67746118,0,0,0,0,72,132,3.559153728,7.118307456,0,5840,0,0,0,1,0,0,0,0,DDoS
192.168.10.5,54473,192.168.10.3,53,17,07/07/2017 04:42,173,2,2,84,204,1664739.884,23121.38728,0,0,0,0,64,64,11560.69364,11560.69364,42,102,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1,65338,192.168.10.50,80,6,07/07/2017 04:04,81299493,8,5,56,11607,143.4572292,0.159902596,0,0,0,0,172,112,0.098401598,0.061500999,0,10135,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,39450,192.168.10.50,80,6,07/07/2017 04:13,622378,3,4,26,11601,18681.57293,11.24718419,0,0,0,0,72,92,4.820221794,6.426962393,0,8675,0,0,0,1,0,0,0,0,DDoS
172.16.0.1,20692,192.168.10.50,80,6,07/07/2017 04:01,1155330,3,6,26,11601,10063.7913,7.789982083,0,0,0,0,72,132,2.596660694,5.193321389,0,4380,0,0,0,1,0,0,0,0,DDoS
192.168.10.50,31841,192.168.10.3,53,17,07/07/2017 05:00,151,2,2,88,188,1827814.57,26490.06623,0,0,0,0,40,40,13245.03311,13245.03311,44,94,0,0,0,0,0,0,0,0,BENIGN
172.217.3.98,443,192.168.10.17,38636,6,07/07/2017 04:15,53,1,1,0,0,0.0,37735.84906,0,0,0,0,32,32,18867.92453,18867.92453,0,0,0,0,0,0,1,1,0,0,BENIGN
172.16.0.1,22806,192.168.10.50,80,6,07/07/2017 04:02,4071898,4,0,24,0,5.894057268,0.982342878,0,0,0,0,80,0,0.982342878,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
192.168.10.50,80,172.16.0.1,63341,6,07/07/2017 04:05,3996925,1,5,6,30,9.006924073,1.501154012,0,0,0,0,20,100,0.250192335,1.250961677,6,6,0,0,0,0,1,1,0,0,BENIGN
192.168.10.9,65416,192.168.10.3,53,17,07/07/2017 03:36,24713,2,2,64,452,20879.69894,161.8581313,0,0,0,0,40,40,80.92906567,80.92906567,32,226,0,0,0,0,0,0,0,0,BENIGN
192.168.10.15,59781,185.54.150.20,443,6,07/07/2017 04:20,32093241,11,14,1994,5264,226.1535381,0.778980222,0,0,0,0,232,288,0.342751298,0.436228924,0,1460,0,0,0,1,0,0,0,0,BENIGN
172.16.0.1,55715,192.168.10.50,80,6,07/07/2017 04:08,91846046,8,6,56,11601,126.9189095,0.15242899,0,0,0,0,172,132,0.08710228,0.06532671,0,5840,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,53731,192.168.10.50,80,6,07/07/2017 04:07,75836,3,6,26,11607,153396.8036,118.6771454,0,0,0,0,72,132,39.55904847,79.11809695,0,5840,0,0,0,1,0,0,0,0,DDoS
172.16.0.1,61757,192.168.10.50,80,6,07/07/2017 04:02,80331217,9,5,62,11607,145.2610882,0.17427845,0,0,0,0,192,112,0.112036147,0.062242304,0,7215,0,0,0,0,1,0,0,0,DDoS
192.168.10.3,61619,192.168.10.1,53,17,07/07/2017 04:36,46594,1,1,64,117,3884.620337,42.92398163,0,0,0,0,20,20,21.46199081,21.46199081,64,117,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1,60934,192.168.10.50,80,6,07/07/2017 04:03,10113721,5,0,30,0,2.966267312,0.494377885,0,0,0,0,100,0,0.494377885,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,53532,192.168.10.50,80,6,07/07/2017 03:57,260382,3,6,26,11607,44676.66736,34.56460124,0,0,0,0,72,132,11.52153375,23.04306749,0,5840,0,0,0,1,0,0,0,0,DDoS
192.168.10.50,80,172.16.0.1,59822,6,07/07/2017 04:02,5060616,1,6,6,36,8.299384897,1.383230816,0,0,0,0,20,120,0.197604402,1.185626414,6,6,0,0,0,0,1,1,0,0,BENIGN
172.16.0.1,16438,192.168.10.50,80,6,07/07/2017 03:58,51282,3,4,26,11607,226843.7268,136.5001365,0,0,0,0,72,92,58.5000585,78.000078,0,11595,0,0,0,1,0,0,0,0,DDoS
172.16.0.1,29554,192.168.10.50,80,6,07/07/2017 04:07,701229,3,5,26,11601,16580.8887,11.40854129,0,0,0,0,72,112,4.278202984,7.130338306,0,7300,0,0,0,1,0,0,0,0,DDoS
