,count,mean,std,min,25%,50%,75%,max,skew
Source Port,6000.0,38143.93316666667,23049.81813017923,0.0,18815.5,49602.0,58276.5,65532.0,-0.5763603153121953
Destination Port,6000.0,9080.510333333334,20036.441933989234,0.0,80.0,80.0,80.0,65470.0,1.9216268641366132
Protocol,6000.0,7.578333333333333,3.8609603802765484,0.0,6.0,6.0,6.0,17.0,2.0276445571582133
Flow Duration,6000.0,15976400.402666667,31284905.12188897,1.0,65254.5,1334924.0,8570003.75,119995732.0,1.9550576997206017
Total Fwd Packets,6000.0,4.497333333333334,6.696725611163072,1.0,2.0,3.0,5.0,281.0,17.869904898965785
Total Backward Packets,6000.0,4.104666666666667,8.652062639637379,0.0,1.0,4.0,5.0,423.0,24.25492344331886
Total Length of Fwd Packets,6000.0,868.267,2895.1964198356627,0.0,26.0,30.0,62.0,33334.0,3.65344367801389
Total Length of Bwd Packets,6000.0,5334.513,15265.989556691757,0.0,0.0,164.0,11601.0,856309.0,32.73765577115198
Flow Bytes/s,6000.0,785602.8092133703,19474354.227696586,0.0,12.0053849025,1191.320971,21168.4175125,1040000000.0,41.3061440752454
Flow Packets/s,6000.0,13398.529440357343,106636.73616381745,0.040618508,0.62767296375,5.534706233,70.8712705025,2000000.0,12.970648966341546
Fwd PSH Flags,6000.0,0.034,0.18124424104639963,0.0,0.0,0.0,0.0,1.0,5.143947001428172
Bwd PSH Flags,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd URG Flags,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd URG Flags,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Header Length,6000.0,100.88533333333334,141.61673653997818,0.0,64.0,72.0,100.0,5632.0,15.682567650283202
Bwd Header Length,6000.0,94.32133333333333,194.81091848392117,0.0,20.0,92.0,112.0,8484.0,19.245072869789066
Fwd Packets/s,6000.0,11984.181600030775,104876.41628454904,0.012833199,0.42166333300000003,2.418086302,33.573883370000004,2000000.0,13.383650039530494
Bwd Packets/s,6000.0,1414.3478403981005,12507.097032049975,0.0,0.04093233725,1.50269565,21.197331255,666666.6667,38.15791624061766
Min Packet Length,6000.0,7.926,15.578135437762962,0.0,0.0,0.0,6.0,289.0,3.9952064569508705
Max Packet Length,6000.0,3278.5853333333334,3855.8318127065054,0.0,6.0,393.5,5840.0,11595.0,0.7333201999597196
FIN Flag Count,6000.0,0.0025,0.04994162286392364,0.0,0.0,0.0,0.0,1.0,19.92990456019172
SYN Flag Count,6000.0,0.034,0.18124424104639963,0.0,0.0,0.0,0.0,1.0,5.143947001428172
RST Flag Count,6000.0,0.00016666666666666666,0.012909944487358055,0.0,0.0,0.0,0.0,1.0,77.45966692414838
PSH Flag Count,6000.0,0.3516666666666667,0.47753034258942245,0.0,0.0,0.0,1.0,1.0,0.621459124294154
ACK Flag Count,6000.0,0.5053333333333333,0.5000132242514125,0.0,0.0,1.0,1.0,1.0,-0.021339882407664865
URG Flag Count,6000.0,0.14166666666666666,0.3487369951757192,0.0,0.0,0.0,0.0,1.0,2.05572005588483
CWE Flag Count,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE Flag Count,6000.0,0.00016666666666666666,0.012909944487358055,0.0,0.0,0.0,0.0,1.0,77.45966692414838
