,0
Total Length of Fwd Packets,0.6522372514266945
Fwd Header Length,0.5381316026119263
Total Length of Bwd Packets,0.5308252688758963
Destination Port,0.5283253666060095
Total Fwd Packets,0.4063951566804469
Bwd Packets/s,0.33574789110239434
Total Backward Packets,0.31664612683948845
Max Packet Length,0.2880827520004299
Flow Bytes/s,0.2231110364219009
Flow Duration,0.21072303104423717
Flow Packets/s,0.21060635556278773
Protocol,0.14128866018890895
URG Flag Count,0.1295203940101186
Min Packet Length,0.1292563331940717
PSH Flag Count,0.027892132534157676
Fwd PSH Flags,0.02767203312300115
ACK Flag Count,0.01281811456825288
RST Flag Count,0.0008341363755943743
FIN Flag Count,0.0
