,0
Total Length of Fwd Packets,0.18614068187785876
Total Length of Bwd Packets,0.15211413894890885
Total Fwd Packets,0.14511475036264185
Fwd Header Length,0.12158204301157083
Destination Port,0.11951559791138452
Total Backward Packets,0.06424303434226837
Max Packet Length,0.04406941036303302
Bwd Packets/s,0.042256831236117405
Protocol,0.023102103970825936
Min Packet Length,0.019571711251755705
Flow Bytes/s,0.019561011093302987
URG Flag Count,0.017447399702397327
Flow Duration,0.01680972647111948
Flow Packets/s,0.014293799166055438
PSH Flag Count,0.007788080833380052
ACK Flag Count,0.005628774273160062
Fwd PSH Flags,0.00040807641766039634
FIN Flag Count,0.00034935718111816014
RST Flag Count,3.471585440886464e-06
