ACK Flag Count,Bwd Packets/s,Destination Port,FIN Flag Count,Flow Bytes/s,Flow Duration,Flow Packets/s,Fwd Header Length,Fwd PSH Flags,Max Packet Length,Min Packet Length,PSH Flag Count,Protocol,RST Flag Count,Total Backward Packets,Total Fwd Packets,Total Length of Bwd Packets,Total Length of Fwd Packets,URG Flag Count,true_binary,pred_binary,true_attack_label,error_type
1,0.030664636,80,0,119.0912249,97832565,0.102215454,152,0,11595,0,0,6,0,3,7,11601,50,0,1,1,DDoS,Correct
1,0.188182479,443,0,34.06102871,5313991,1.129094874,100,1,46,6,0,6,0,1,5,46,135,0,0,0,BENIGN,Correct
0,9174.311927,53,0,1027522.936,218,18348.62385,40,0,83,29,0,17,0,2,2,166,58,0,0,0,BENIGN,Correct
1,0.0,80,0,7.61650975,3938812,1.269418292,100,0,6,6,0,6,0,0,5,0,30,0,1,1,DDoS,Correct
0,21.29970819,53,0,3301.45477,93898,42.59941639,64,0,122,33,0,17,0,2,2,244,66,0,0,0,BENIGN,Correct
1,0.0,52416,0,0.0,48,41666.66667,64,0,0,0,0,6,0,0,2,0,0,0,0,0,BENIGN,Correct
1,0.083402908,80,0,162.1213518,71939938,0.194606784,172,0,5840,0,0,6,0,6,8,11607,56,0,1,1,DDoS,Correct
0,2.790577225,80,0,6489.20828,1791744,4.464923561,72,0,4380,0,1,6,0,5,3,11601,26,0,1,1,DDoS,Correct
0,0.763170661,443,0,573.2105452,14413552,1.595720472,252,0,1576,0,1,6,0,11,12,6932,1330,0,0,0,BENIGN,Correct
0,0.174891952,80,0,2.448487325,5717816,0.699567807,72,0,6,0,1,6,0,1,3,2,12,0,0,0,BENIGN,Correct
0,3.290929704,80,0,6380.564208,1823193,4.936394556,72,0,4380,0,1,6,0,6,3,11607,26,0,1,1,DDoS,Correct
0,278.3383202,80,0,809059.9123,14371,487.0920604,72,0,8760,0,1,6,0,4,3,11601,26,0,1,1,DDoS,Correct
0,26.00712595,53,0,2990.819485,76902,52.01425191,64,0,82,33,0,17,0,2,2,164,66,0,0,0,BENIGN,Correct
0,9.25172082,80,0,17928.293,648528,13.87758123,72,0,4380,0,1,6,0,6,3,11601,26,0,1,1,DDoS,Correct
1,0.0,80,0,37.2099946,644988,6.201665767,80,0,6,6,0,6,0,0,4,0,24,0,1,1,DDoS,Correct
1,0.0,80,0,356.9799496,100846,59.49665827,120,0,6,6,0,6,0,0,6,0,36,0,1,1,DDoS,Correct
1,0.054107311,80,0,126.2107147,92408953,0.14067901,172,0,7215,0,0,6,0,5,8,11607,56,0,1,1,DDoS,Correct
0,4.518936604,80,0,10508.33518,1106455,7.230298566,72,0,7215,0,1,6,0,5,3,11601,26,0,1,1,DDoS,Correct
0,1.003027136,443,0,824.6554769,5981892,2.34039665,172,0,1460,0,1,6,0,6,8,4235,698,0,0,0,BENIGN,Correct
0,10362.6943,53,0,1222797.927,193,20725.3886,40,0,91,27,0,17,0,2,2,182,54,0,0,0,BENIGN,Correct
0,72.94212043,80,0,141422.6145,82257,109.4131806,72,0,4380,0,1,6,0,6,3,11607,26,0,1,1,DDoS,Correct
1,0.0,54862,0,6000000.0,2,1000000.0,40,0,6,6,0,6,0,0,2,0,12,0,0,0,BENIGN,Correct
0,2.111522154,58491,0,12281.66861,947184,8.446088616,144,0,5840,0,1,6,0,2,6,26,11607,0,0,0,BENIGN,Correct
1,0.057051999,80,0,166.2637892,70111478,0.171155998,172,0,8675,0,0,6,0,4,8,11601,56,0,1,1,DDoS,Correct
1,14925.37313,55537,0,179104.4776,67,29850.74627,20,0,6,6,0,6,0,1,1,6,6,1,0,0,BENIGN,Correct
1,0.0,80,0,2.423077878,9904758,0.403846313,80,0,6,6,0,6,0,0,4,0,24,0,1,1,DDoS,Correct
1,0.0,80,0,2.987016187,8034774,0.497836031,80,0,6,6,0,6,0,0,4,0,24,0,1,1,DDoS,Correct
0,20.58587397,53,0,2511.476625,48577,41.17174795,20,0,75,47,0,17,0,1,1,75,47,0,0,0,BENIGN,Correct
0,9.534842699,80,0,2664.988534,419514,16.68597472,108,0,697,0,1,6,0,4,3,421,697,0,0,0,BENIGN,Correct
0,150.6553508,80,0,291944.9606,39826,225.9830262,72,0,4380,0,1,6,0,6,3,11601,26,0,1,1,DDoS,Correct
1,0.050388484,80,0,117.5361781,99229022,0.131010059,172,0,7215,0,0,6,0,5,8,11607,56,0,1,1,DDoS,Correct
0,11.76581325,53,0,2141.378012,84992,23.53162651,20,0,130,52,0,17,0,1,1,130,52,0,0,0,BENIGN,Correct
1,0.60669024,17404,0,4.36816973,8241438,0.728028288,20,0,6,6,0,6,0,5,1,30,6,1,0,0,BENIGN,Correct
0,7.430690237,80,0,17279.32708,672885,11.88910438,72,0,5840,0,1,6,0,5,3,11601,26,0,1,1,DDoS,Correct
1,0.555014416,52931,0,3.996103799,9008775,0.6660173,20,0,6,6,0,6,0,5,1,30,6,1,0,0,BENIGN,Correct
1,0.0,80,0,717.4802095,41813,119.5800349,100,0,6,6,0,6,0,0,5,0,30,0,1,1,DDoS,Correct
0,5.036996741,80,0,11719.07662,992655,8.059194786,72,0,7300,0,1,6,0,5,3,11607,26,0,1,1,DDoS,Correct
1,0.887341103,16296,0,6.211387722,6761774,1.035231287,20,0,6,6,0,6,0,6,1,36,6,1,0,0,BENIGN,Correct
1,0.0,80,0,2.977682271,8059960,0.496280379,80,0,6,6,0,6,0,0,4,0,24,0,1,1,DDoS,Correct
1,3.329439739,64858,0,23.30607817,1802105,3.884346362,20,0,6,6,0,6,0,6,1,36,6,1,0,0,BENIGN,Correct
0,217.9788996,80,0,506888.1332,22938,348.7662394,72,0,7300,0,1,6,0,5,3,11601,26,0,1,1,DDoS,Correct
1,0.505521218,59338,0,3.538648529,11868938,0.589774755,20,0,6,6,0,6,0,6,1,36,6,1,0,0,BENIGN,Correct
0,0.03011879,53,0,3.85520518,66403729,0.060237581,64,0,78,50,0,17,0,2,2,144,112,0,0,0,BENIGN,Correct
1,0.0,80,0,7.950309506,3773438,1.325051584,100,0,6,6,0,6,0,0,5,0,30,0,1,1,DDoS,Correct
1,0.0,80,0,3.115501372,7703415,0.519250229,80,0,6,6,0,6,0,0,4,0,24,0,1,1,DDoS,Correct
0,11.61365999,50193,0,67550.85331,172211,46.45463995,144,0,7215,0,1,6,0,2,6,26,11607,0,0,0,BENIGN,Correct
0,0.368577989,80,0,3.317201903,5426260,1.105733968,100,0,6,0,1,6,0,2,4,0,18,0,0,0,BENIGN,Correct
0,14.48876396,53,0,2463.089874,138038,43.46629189,80,0,98,36,0,17,0,2,4,196,144,0,0,0,BENIGN,Correct
0,8.755379086,53,0,1348.328379,228431,17.51075817,64,0,121,33,0,17,0,2,2,242,66,0,0,0,BENIGN,Correct
0,41.61672659,80,0,96775.53602,120144,66.58676255,72,0,5840,0,1,6,0,5,3,11601,26,0,1,1,DDoS,Correct
1,0.0,80,0,4.976896417,6027853,0.829482736,100,0,6,6,0,6,0,0,5,0,30,0,1,1,DDoS,Correct
1,0.072603385,80,0,141.1288798,82640775,0.181508462,192,0,5840,0,0,6,0,6,9,11601,62,0,1,1,DDoS,Correct
1,0.0,80,0,3.488863374,8598789,0.581477229,100,0,6,6,0,6,0,0,5,0,30,0,1,1,DDoS,Correct
0,4.322230963,63736,0,25140.25639,462724,15.12780837,124,0,11595,0,1,6,0,2,5,26,11607,0,0,0,BENIGN,Correct
1,0.0,80,0,4.103482722,7310863,0.683913787,100,0,6,6,0,6,0,0,5,0,30,0,1,1,DDoS,Correct
1,0.051777581,80,0,150.9704827,77253512,0.155332744,172,0,11595,0,0,6,0,4,8,11607,56,0,1,1,DDoS,Correct
1,0.049931588,80,0,116.5303406,100137011,0.139808447,192,0,7215,0,0,6,0,5,9,11607,62,0,1,1,DDoS,Correct
0,2.767864211,80,0,6439.712873,1806447,4.428582737,72,0,7300,0,1,6,0,5,3,11607,26,0,1,1,DDoS,Correct
1,0.065518699,80,0,127.2919123,91576910,0.152876964,172,0,4380,0,0,6,0,6,8,11601,56,0,1,1,DDoS,Correct
1,0.127626442,59126,0,149.0038712,78353669,0.204202307,132,0,7300,0,0,6,0,10,6,68,11607,1,0,0,BENIGN,Correct
