Unnamed: 0,count,mean,std,min,25%,50%,75%,max,skew
Flow Duration,12040.0,inf,,28.552532,98.166557,126.327623,160.506526,inf,
Total Fwd Packets,11981.0,245.501611,85.475718,9.622843,193.385668,267.703936,300.353161,475.680089,-0.850226
Total Backward Packets,12040.0,169.838036,46.728525,31.332361,140.115116,165.831191,198.722776,420.823633,0.268905
Total Length of Fwd Packets,12040.0,109.563512,49.381755,5.265722,77.659869,100.841174,132.379632,457.095229,1.412561
Total Length of Bwd Packets,12040.0,96.088874,82.989428,11.490948,37.179704,66.434577,119.22215,487.349879,1.413189
Fwd Packet Length Max,12040.0,80.120817,66.474564,10.282136,33.653088,59.627814,102.204584,414.627791,1.647445
Fwd Packet Length Min,12040.0,217.945064,61.969635,7.5615,199.21185,223.582067,255.257693,424.263303,-0.815975
Fwd Packet Length Mean,12040.0,195.436721,49.697289,8.881569,176.292832,196.66653,223.705172,393.785462,-0.687642
Fwd Packet Length Std,12040.0,152.679492,88.142523,3.41418,104.034823,132.210413,172.241498,626.738351,2.112252
Bwd Packet Length Max,12040.0,177.188009,44.343106,33.921911,152.942343,174.408241,203.397453,367.137159,-0.087241
Bwd Packet Length Min,12040.0,142.627632,53.695865,20.108019,110.104519,132.227827,163.666302,533.201625,1.7786
Bwd Packet Length Mean,12040.0,191.384464,52.088731,32.982524,160.434915,185.466036,220.840732,440.181234,0.278185
Bwd Packet Length Std,12040.0,147.271204,56.938473,5.956248,113.596294,140.647125,178.856149,385.185493,0.26923
Flow Bytes/s,12040.0,153.495338,72.376494,33.060726,101.580244,132.038985,183.556244,482.136252,1.170618
Flow Packets/s,12040.0,183.366669,69.064256,22.364662,148.237715,175.573486,211.929304,629.7804,1.311904
